"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","climate_region"
"dph","2016-08-10","syzygium_cunninghamiana","sc_72","sc_72-syzygium_cunninghamiana",20,32.87,45.715,2.323,76.35701,1.88284891388186,1.30102999566398,0.366049209800235,1.51679970408162,1.66005872410392,"Northern Territory"
"dph","2016-08-10","syzygium_cunninghamiana","sc_72","sc_72-syzygium_cunninghamiana",20,31.64,39.725,2.997,94.82508,1.97692321777128,1.30102999566398,0.476686742945645,1.50023647482564,1.59906390587942,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,41.085,52.67,2.187,89.852895,1.95353207434728,1.30102999566398,0.339848783037637,1.61368329130964,1.72156331835748,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,38.16,54.26,2.411,92.00376,1.96380557640951,1.30102999566398,0.382197210377454,1.58160836603206,1.73447978942558,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,37.115,48.45,2.557,94.903055,1.97728019291504,1.30102999566398,0.407730728026335,1.5695494648887,1.68529378138678,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,37.325,48.7,2.184,81.5178,1.91125245042976,1.30102999566398,0.3392526340327,1.57199981639706,1.68752896121463,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,35.965,48.405,2.398,86.24407,1.93572924339963,1.30102999566398,0.37984917876283,1.55588006463681,1.68489022445959,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,37.28,44.115,2.634,98.19552,1.99209167430771,1.30102999566398,0.420615770625765,1.57147590368194,1.64458628356275,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,43.96,59.275,2.531,111.26276,2.04634982890971,1.30102999566398,0.403292145158254,1.64305768375145,1.77287156265023,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,29.23,41.34,2.496,72.95808,1.86307339636782,1.30102999566398,0.397244581010386,1.46582881535744,1.61637047229127,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,30.59,39.485,2.478,75.80202,1.87968077902472,1.30102999566398,0.394101302040045,1.48557947698468,1.59643214234908,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,39.185,48.705,2.456,96.23836,1.98334821357307,1.30102999566398,0.39022836246913,1.59311985110394,1.68757354768168,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,36.29,48.205,2.427,88.07583,1.94485674453249,1.30102999566398,0.385069776331935,1.55978696820056,1.68309208719713,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,35.095,46.915,2.803,98.371285,1.99286834450852,1.30102999566398,0.447623097760286,1.54524524674823,1.67131172066177,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,38.97,51,2.634,102.64698,2.01134617641846,1.30102999566398,0.420615770625765,1.59073040579269,1.70757017609794,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,38.3,51.12,2.41,92.303,1.96521581654349,1.30102999566398,0.382017042574868,1.58319877396862,1.70859084515034,"Northern Territory"
"dph","2016-08-10","barringtonia_acutangula","ba_72","ba_72-barringtonia_acutangula",20,40.04,56.885,2.501,100.14004,2.00060776053778,1.30102999566398,0.398113691730502,1.60249406880728,1.75499776242238,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,27.37,36.495,3.038,83.15006,1.91986256693689,1.30102999566398,0.482587769526768,1.43727479741012,1.5622333679865,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,30.125,48.21,3.896,117.367,2.0695460037895,1.30102999566398,0.590618948206578,1.47892705558292,1.68313713148301,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,32.585,46.31,3.043,99.156155,1.99631967768979,1.30102999566398,0.483301952358167,1.51301772533162,1.66567478099389,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,26.945,41.95,2.85,76.79325,1.88532304794055,1.30102999566398,0.45484486000851,1.43047818793204,1.62273196516472,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,28.12,34.04,2.816,79.18592,1.89864796681786,1.30102999566398,0.449632650470075,1.44901531634779,1.53198955141255,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,29.815,42.57,2.75,81.99125,1.91376750751202,1.30102999566398,0.439332693830263,1.47443481368176,1.62910365017714,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,29.195,35.1,2.455,71.673725,1.85535997604629,1.30102999566398,0.390051496458987,1.46530847958731,1.54530711646582,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,27.475,33.58,2.434,66.87415,1.82525827498957,1.30102999566398,0.386320573894046,1.43893770109553,1.52608069180203,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,29.7,34.495,3.125,92.8125,1.96760647099731,1.30102999566398,0.494850021680094,1.47275644931721,1.53775614928261,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,21.97,28.925,2.526,55.49622,1.74426340313982,1.30102999566398,0.402433346219312,1.34183005692051,1.46127336762379,"Northern Territory"
