"species","nursery","volume","sla_tree.mean","sla_tree.se","climate_region","genus_species","variety","origin","leaf_type"
"callistemon_kingsparkspecial","flemings",45,57.2757764652501,2.01963638486815,"Victoria","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_salignus","plants direct",45,57.9819400575583,1.60279289879993,"Queensland","callistemon_salignus",NA,"native","evergreen"
"callistemon_viminalis","pallara",25,68.4686762078616,2.45945572179194,"Queensland","callistemon_viminalis",NA,"native","evergreen"
"carallia_brachiata","darwin plant wholesalers",100,156.813291462659,9.91304690779079,"Northern Territory","carallia_brachiata",NA,"native","evergreen"
"carpinus_betulus_fastigiata","heynes",27,211.911670772749,5.79920779074507,"South Australia","carpinus_betulus","fastigiata","non-native","deciduous"
"corymbia_calophylla","benara",500,56.1413260613845,2.92890772264284,"Western Australia","corymbia_calophylla",NA,"native","evergreen"
"corymbia_citriodora","freshford",20,61.6949435745141,1.44219810745785,"South Australia","corymbia_citriodora",NA,"native","evergreen"
"corymbia_citriodora","ellenby tree farm",150,51.2125236448601,1.34647238907652,"Western Australia","corymbia_citriodora",NA,"native","evergreen"
"corymbia_citriodora","benara",30,69.4186539208359,3.31635167924772,"Western Australia","corymbia_citriodora",NA,"native","evergreen"
"corymbia_citriodora","freshford",40,78.481324491382,5.27593659654853,"South Australia","corymbia_citriodora",NA,"native","evergreen"
"corymbia_citriodora","flemings",100,89.2271852166029,3.25032864498389,"Victoria","corymbia_citriodora",NA,"native","evergreen"
"corymbia_citriodora","ellenby tree farm",75,57.1783581057269,2.16609575959545,"Western Australia","corymbia_citriodora",NA,"native","evergreen"
"corymbia_citriodora","andreasens",14,102.685518239961,4.25828727013925,"New South Wales","corymbia_citriodora",NA,"native","evergreen"
"corymbia_ficifolia","speciality",50,54.3986500087418,2.09955378301485,"Victoria","corymbia_ficifolia",NA,"native","evergreen"
"corymbia_ficifolia","speciality",35,52.6205978740986,2.26572282976113,"Victoria","corymbia_ficifolia",NA,"native","evergreen"
"corymbia_ficifolia","ellenby tree farm",1000,51.76840250156,1.29467244396577,"Western Australia","corymbia_ficifolia",NA,"native","evergreen"
"corymbia_maculata","ellenby tree farm",65,70.4149696860879,2.453134043875,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","ellenby tree farm",45,59.2275397570847,1.4262129905731,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","established tree transplanters",500,71.9806761738291,2.57269905633918,"Victoria","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","mt william",18,72.9736066919553,1.63012031404801,"Victoria","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","ellenby tree farm",400,50.7675727276253,1.62932108514137,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","arborwest",200,49.4071486787182,2.57998698567321,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","ellenby tree farm",100,56.4051469526171,1.13804290952775,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","ellenby tree farm",200,55.3339139480866,1.50419620314017,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","freshford",40,66.7467250106873,2.36718587458607,"South Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","adelaide advanced",27,56.9232567703919,2.05179640722864,"South Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","andreasens",200,77.3877818571636,3.48963154473988,"New South Wales","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","speciality",50,63.4169286283089,2.52315608528586,"Victoria","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","arborwest",100,57.229617683337,1.55966225146643,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","andreasens",75,64.0305236928571,2.28110270166855,"New South Wales","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","andreasens",100,64.8306606276008,1.60803797517439,"New South Wales","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","benara",500,51.9192299386516,1.56425834058297,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","andreasens",14,67.1904179647132,1.32935130233815,"New South Wales","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","benara",90,46.6667168991898,1.56503598240292,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","speciality",100,62.0390304044786,2.8749960516794,"Victoria","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","established tree transplanters",150,61.4076049181583,1.75716883415953,"Victoria","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","benara",30,56.361172628727,1.78101279566624,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata","benara",200,54.2189303265703,1.4797405042796,"Western Australia","corymbia_maculata",NA,"native","evergreen"
"corymbia_maculata_lowanna","trees impact",250,52.6918866713484,1.79277857480157,"New South Wales","corymbia_maculata","lowanna","native","evergreen"
