nursery,species,date,site,batch_id2,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD,colorspec
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,25.595,32.61,2.578,65.98391,1.819438047,2,0.411282913,1.408155134,1.513350799,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,27.34,32.485,3.16,86.3944,1.936485593,2,0.499687083,1.43679851,1.511682871,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,28.68,32.46,2.855,81.8814,1.91318526,2,0.455606113,1.457579147,1.511348515,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,27.82,32.31,2.69,74.8358,1.874109406,2,0.42975228,1.444357126,1.509336958,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,23.285,30.425,2.234,52.01869,1.716159411,2,0.349083169,1.367076242,1.483230587,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,24.455,25.54,2.789,68.204995,1.833816181,2,0.445448514,1.388367667,1.407220893,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,30.56,36.725,3.275,100.084,2.000364654,2,0.515211304,1.48515335,1.564961804,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,26.43,33.845,2.751,72.70893,1.861587754,2,0.43949059,1.422097163,1.529494518,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,28.2,33.755,2.874,81.0468,1.908735872,2,0.458486764,1.450249108,1.528338112,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,28.93,37.135,2.4,69.432,1.841559675,2,0.380211242,1.461348434,1.569783428,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,29.085,36.485,3.163,91.995855,1.96376826,2,0.500099192,1.463669068,1.562114351,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,28.705,35.65,3.115,89.416075,1.951415602,2,0.493458051,1.457957551,1.552059534,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,29.875,35.11,2.612,78.0335,1.892281087,2,0.416973173,1.475307914,1.545430829,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,28.98,32.235,2.878,83.40444,1.921189171,2,0.45909079,1.462098381,1.508327675,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,28.685,34.3,3.297,94.574445,1.975773801,2,0.518118947,1.457654854,1.53529412,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,28.06,34.795,2.988,83.84328,1.92346826,2,0.475380593,1.448087667,1.541516841,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,28.8,33.985,2.867,82.5696,1.916820181,2,0.457427693,1.459392488,1.531287274,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,43.705,54.795,3.738,163.36929,2.213170422,2,0.572639297,1.640531125,1.738740931,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,42.925,55.905,4.047,173.717475,2.239843508,2,0.607133204,1.632710304,1.747450652,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,44.205,47.29,4.63,204.66915,2.311052386,2,0.665580991,1.645471395,1.674769314,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,37.975,46.14,4.14,157.2165,2.196498124,2,0.617000341,1.579497783,1.66407759,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,46.525,51.01,4.856,225.9254,2.35396506,2,0.686278678,1.667686382,1.707655324,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,41.515,52.68,4.728,196.28292,2.29288251,2,0.674677468,1.618205042,1.721645766,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,41.565,47.8,4.657,193.568205,2.286834023,2,0.668106238,1.618727785,1.679427897,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,35.185,46.57,3.4,119.629,2.077836472,2,0.531478917,1.546357555,1.668106238,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,33.77,41.725,3.99,134.7423,2.129503956,2,0.600972896,1.528531061,1.620396345,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,44.475,55.375,4.294,190.97565,2.280977997,2,0.63286204,1.648115957,1.743313739,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,34,45.29,4.29,145.86,2.163936209,2,0.632457292,1.531478917,1.656002321,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,46.34,56.26,4.637,214.87858,2.332193125,2,0.666237096,1.665956029,1.750199728,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,46.305,56.94,3.298,152.71389,2.18387854,2,0.518250651,1.665627889,1.755417463,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,45.095,61.335,4.055,182.860225,2.26211925,2,0.607990859,1.654128391,1.78770837,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,34.665,44.31,3.86,133.8069,2.126478509,2,0.586587305,1.539891205,1.64650175,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,48.185,54.325,4.045,194.908325,2.289830389,2,0.606918526,1.682911863,1.734999735,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,42.35,52.57,4.256,180.2416,2.255855034,2,0.629001619,1.626853415,1.720737977,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,48.78,56.66,4.49,219.0222,2.340488137,2,0.652246341,1.688241796,1.75327657,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-074-angophora_costata,100,48.34,59.985,4.49,217.0466,2.336552987,2,0.652246341,1.684306646,1.778042663,#7FC97F
