date,species,batch_id,volume,grade,tree,height,diameter1,diameter2,rootmax,rootmin
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,regular,3,161,15.68,14.84,63,16
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,regular,4,183,14.35,14.43,44.5,27
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,regular,5,186.1,16.08,16.23,58,31.5
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,regular,6,185,15.28,14.91,75,26
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,regular,7,174.9,15.15,14.92,64.5,31
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,regular,8,198.6,16.66,16.93,44.5,22
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,regular,9,176.5,13.66,14.12,84,35.5
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,regular,10,181,16.42,16,60,43.5
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,advanced,11,237.4,22.02,21.89,48,30.5
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,advanced,12,258.6,22.75,22.58,47,41
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,advanced,13,235,23.68,24.41,53.5,35.5
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,advanced,14,252,21.67,21.97,64.5,50
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,advanced,15,239.6,21.98,21.39,77.5,50.5
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,advanced,16,222.2,21.41,21.23,58,34.5
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,advanced,17,241.9,20.78,21.16,49,31
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,advanced,18,246.5,21.33,21.08,53,25
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,advanced,19,240.9,21.29,22.2,52,38
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,advanced,20,242,22.42,22.63,59.5,42.5
