nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,21,145,15.75,15.55,23.52,24.07
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,22,148.4,15.89,15.73,20.05,19.87
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,23,159.2,14.36,15.26,27.88,22.51
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,24,158.6,16.67,16.4,22.22,21.23
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,25,142.9,19.36,17.32,21.15,22.1
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,26,187,19.37,19.19,25.92,26.01
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,27,138,14.63,15.12,19.62,19.75
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,28,127.7,12.5,13.2,22.37,23.28
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,29,116.8,12.26,12.35,22.4,22.23
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,30,147.8,14.87,14.09,20.01,19.71
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,31,114,11.92,12.73,21.75,20.95
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,32,159.6,16.46,16.73,20.66,20.49
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,33,140.5,15.06,15.36,20.01,19.88
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,34,146,14.85,14.52,20.43,19.74
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,35,157.4,17.43,17.32,22.64,22.81
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,36,142.8,14.89,15.18,23.26,23.08
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,37,149.9,16.7,16.55,18.49,19.02
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,38,160.2,22.35,20.48,24.92,24.75
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,39,144.8,16.74,16.62,21.65,22.13
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,40,148.7,15.81,15.78,24.25,25.19
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,41,123.7,14.61,14.35,26.25,26.35
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,1,337.8,36.55,35.95,55.64,54.7
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,2,332.2,35.91,36.13,48.05,49.44
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,3,351,36.03,39.08,50.37,52.68
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,4,321.1,33.75,33.32,49.04,48.74
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,5,370.4,35.32,35.64,52.74,53.13
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,6,307.5,34.43,33.93,52.41,54.01
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,7,318.5,30.24,30.47,41.82,44.43
