species,variety,container_l,onhand,date_ready,height,caliper_30cm,type,origin,growth_rate
Platanus_orinetalis,,150,ngia2,,3.4,66,deciduous,non-native,moderate
Platanus_x_acerifolia,Bloodgood,45,ngia2,,2.2,23,deciduous,non-native,moderate
Platanus_x_acerifolia,Bloodgood,45,23,1/11/2014,3.14,36.4,deciduous,non-native,moderate
Platanus_x_acerifolia,Bloodgood,45,28,1/04/2014,3.1,38.29,deciduous,non-native,moderate
Platanus_x_acerifolia,Bloodgood,75,24,15/03/2014,3.12,34.44,deciduous,non-native,moderate
Platanus_x_acerifolia,,37,test,,2.4,25,deciduous,non-native,moderate
Platanus_x_acerifolia,,45,test,,3.25,36,deciduous,non-native,moderate
Populus_x_P.euramericana,Veronese,45,74,1/02/2014,3.5,44.8,deciduous,non-native,fast
Prunus_cerasifera,Oakville_Crimson_Spire,45,100,1/01/2015,2.68,31.94,deciduous,non-native,moderate
Prunus_fruticosa,Globosa,45,25,1/01/2015,2.28,24.25,deciduous,non-native,slow
Prunus_fruticosa,Globosa,45,1,1/09/2014,2.3,58.2,deciduous,non-native,slow
Pyrus calleryana_x_betulaefolia,Edgedell-Edgewood,75,1,1/09/2014,3.17,40.57,deciduous,non-native,moderate
Pyrus_betulaefolia,Southworth_Dancer,45,70,1/01/2015,2.25,21.39,deciduous,non-native,moderate
Pyrus_calleryana,Bursnozmam-Burguny_Snow,150,3,1/10/2014,3.83,64.7,deciduous,non-native,moderate
Pyrus_calleryana,Capital,45,42,1/01/2015,2.88,31.25,deciduous,non-native,moderate
Pyrus_calleryana,Captial,45,100,12/12/2014,2.5,31.97,deciduous,non-native,moderate
Pyrus_calleryana,Captial,300,16,1/03/2014,5.8,91.36,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,45,47,1/01/2015,2.7,31.44,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,45,90,1/01/2015,2.68,27.61,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,45,90,1/01/2015,2.38,28.24,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,45,20,1/01/2015,2.72,32.94,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,45,30,1/01/2015,2.68,25.2,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,45,20,1/01/2015,2.55,33.54,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,45,27,1/01/2015,2.61,28.7,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,45,90,1/01/2015,2.53,30.2,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,45,ngia2,,2.9,35,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,150,25,1/01/2014,3.72,45.13,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,150,10,1/01/2014,3.9,54.7,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,150,14,1/06/2014,4.3,60.26,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,150,13,1/05/2014,3.99,53.74,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,150,ngia,,4.4,61,deciduous,non-native,moderate
Pyrus_calleryana,Chanticleer,150,ngia2,,4.4,65,deciduous,non-native,moderate
Pyrus_calleryana ,Capital,37,test,,2.5,26,deciduous,non-native,moderate
Pyrus_calleryana ,Capital,45,test,,2.2,27.5,deciduous,non-native,moderate
Pyrus_calleryana ,Capital,50,test,,3.5,30,deciduous,non-native,moderate
Pyrus_calleryana ,Capital,52,test,,3.25,35,deciduous,non-native,moderate
Pyrus_calleryana_x_betulaefolia,Edgedell-Edgewood,45,100,1/01/2015,2.55,23.49,deciduous,non-native,moderate
Pyrus_ussuriensis,Manchurian_Pear,45,4,1/09/2014,2.9,39.5,deciduous,non-native,moderate
Quercus_acutissima,,45,test,,2.2,23,deciduous,non-native,slow
Quercus_coccinea,,300,1,1/12/2014,5.4,83.84,deciduous,non-native,moderate
Quercus_palustris,Pringreen-Green_Pillar,45,45,1/11/2014,2.4,18.2,deciduous,non-native,moderate
Quercus_palustris,Pringreen-Green_Pillar,45,6,23/10/2014,3.2,28,deciduous,non-native,moderate
Quercus_palustris,Pringreen-Green_Pillar,45,test,,2.8,29,deciduous,non-native,moderate
Quercus_robur,,18,test,,2.3,23,deciduous,non-native,slow
Quercus_rubra,Red_Oak,45,1,1/09/2014,3,41.1,deciduous,non-native,moderate
Sophora_japonicum,Pendula-Styphnolobium,150,1,1/12/2014,1.2,52.42,deciduous,non-native,fast
Tilia_cordata,PNI6025-Greenspire,45,12,1/01/2015,1.58,18.02,deciduous,non-native,moderate
Tilia_cordata,PNI6025-Greenspire,45,16,1/01/2015,2.27,26.28,deciduous,non-native,moderate
Tristaniopsis_laurina,Luscious,45,10,1/11/2014,1.8,25.08,evergreen,native,slow
Tristaniopsis_laurina,Luscious,45,80,1/12/2014,1.57,25.64,evergreen,native,slow
Tristaniopsis_laurina,Luscious,,1,1/09/2014,2.6,41.4,evergreen,native,slow
Tristaniopsis_laurina,,27,test,,1.8,25,evergreen,native,slow
Tristaniopsis_laurina,,37,test,,1.8,20,evergreen,native,slow
Tristaniopsis_laurina,,45,4,1/12/2014,1.84,24.01,evergreen,native,slow
Ulmus_parvifolia, Burnley Select,45,test,,2.2,30,deciduous,non-native,fast
Ulmus_parvifolia,Allee,45,ngia2,,3.6,36,deciduous,non-native,fast
Ulmus_parvifolia,Athena,45,ngia2,,2.5,44,deciduous,non-native,fast
Ulmus_parvifolia,Athena,75,ngia2,,3,54,deciduous,non-native,fast
Ulmus_parvifolia,Athena,150,ngia2,,2.8,48,deciduous,non-native,fast
Ulmus_parvifolia,Emer_II-Allee,150,8,1/09/2014,3.8,47,deciduous,non-native,fast
Ulmus_parvifolia,Emer-1,400,2,1/10/2014,3.84,68.7,deciduous,non-native,fast
Ulmus_parvifolia,Emer-1-Athena,150,1,1/09/2014,3.47,59.34,deciduous,non-native,fast
Ulmus_parvifolia,Reflection,45,94,1/12/2014,2.56,21.04,deciduous,non-native,fast
Ulmus_parvifolia,Reflection,45,40,1/02/2014,2.8,32,deciduous,non-native,fast
Ulmus_parvifolia,Todd,45,80,1/01/2015,2.75,27.77,deciduous,non-native,fast
Waterhousea_floribunda,,300,4,1/12/2014,4.48,112.65,evergreen,native,fast
Waterhousea_floribunda,,300,8,1/04/2014,4.04,123.32,evergreen,native,fast
Waterhousia_floribunda,,45,ngia2,,2.1,28,evergreen,native,fast
Waterhousia_floribunda,,150,ngia,,2.6,51,evergreen,native,fast
Waterhousia_floribunda,,150,ngia2,,2.6,53,evergreen,native,fast
Zelkova_serrata,Golden Flame,150,ngia2,,3.7,43,deciduous,non-native,moderate
Zelkova_serrata,Golden_Flame,45,ngia2,,3.2,24,deciduous,non-native,moderate
Zelkova_serrata,Golden_Flame,75,ngia2,,2.5,41,deciduous,non-native,moderate
Zelkova_serrata,Goldenflame,45,3,1/09/2014,2.6,29.6,deciduous,non-native,moderate
Zelkova_serrata,Goldenflame,45,60,1/01/2015,2.7,25.4,deciduous,non-native,moderate
Zelkova_serrata,Green_Vase,37,test,,2.4,18,deciduous,non-native,moderate
Zelkova_serrata,Green_Vase,45,15,1/12/2014,2.33,26.74,deciduous,non-native,moderate
Zelkova_serrata,Green_Vase,45,5,1/10/2014,3.3,29,deciduous,non-native,moderate
Zelkova_serrata,Green_Vase,45,test,,2.65,22.5,deciduous,non-native,moderate
Zelkova_serrata,Mushashino,45,32,1/02/2014,2.8,34,deciduous,non-native,moderate
Zelkova_serrata,Mushashino,45,21,1/03/2014,3.1,28.7,deciduous,non-native,moderate
Zelkova_serrata,Mushashino,45,ngia2,,2.8,28,deciduous,non-native,moderate
Zelkova_serrata,Mushashino,300,4,1/03/2014,4.62,77.3,deciduous,non-native,moderate
Zelkova_serrata,Schimidtow-Wireless,45,6,1/10/2014,2.7,29.9,deciduous,non-native,moderate
Zelkova_serrata,Schimidtow-Wireless,150,5,1/04/2014,3.1,53.39,deciduous,non-native,moderate
Zelkova_serrata,Schimidtow-Wireless,300,2,1/03/2014,4.36,93.4,deciduous,non-native,moderate
